Disease,Treatment,Tablet Name,Dosage,Time Taken,Effect Time Duration,Which Age,Company,Purity,Side Effects,Price
Bacterial Infection,Antibiotic Therapy,Amoxicillin,300 mg,Before meals,8 hours,0-12,Silver Cross Pharma,96.2%,"Stomach upset, Mild rash",₹676.37
Skin Infection (Fungal),Antifungal Therapy,Clotrimazole,750 mg,Thrice daily - After meals,2 hours,36-50,Wellspring Rx,95.4%,"Diarrhea, Stomach upset, Constipation",₹607.43
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,5 mg,Thrice daily - After meals,24 hours,51-65,Nova Health,95.7%,"None reported, Drowsiness",₹17.22
Urinary Tract Infection,Antibiotic Therapy,Nitrofurantoin,100 mg,Once daily - Morning,12 hours,65+,Wellspring Rx,97.9%,Diarrhea,₹283.19
Acidity / GERD,Proton Pump Inhibitor,Omeprazole,2.5 mg,Twice daily - Morning & Night,6 hours,51-65,Zenith Biocare,97.2%,"Stomach upset, Headache",₹405.52
High Cholesterol,Statin Therapy,Atorvastatin,2.5 mg,Once daily - Night,12 hours,13-18,Vitacore Pharmaceuticals,95.4%,Blurred vision,₹275.87
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,5 mg,Every 8 hours,2 hours,19-35,Greenfield Biotech,96.6%,"Drowsiness, Nausea, Mild rash",₹156.84
High Cholesterol,Statin Therapy,Atorvastatin,100 mg,Once daily - Night,4 hours,51-65,Zenith Biocare,95.0%,"Loss of appetite, Mild rash",₹741.62
Vitamin D Deficiency,Supplementation,Cholecalciferol,100 mg,Once weekly,12 hours,19-35,Greenfield Biotech,99.8%,"Diarrhea, None reported",₹124.01
Common Cold,Antihistamine Therapy,Chlorpheniramine,200 mg,Every 8 hours,6 hours,13-18,Cygnus Life Sciences,98.7%,Headache,₹423.87
Cough & Cold,Antitussive Therapy,Ambroxol,1000 mg,Twice daily - Morning & Night,8 hours,13-18,Vitacore Pharmaceuticals,99.0%,"Headache, Blurred vision",₹32.84
Migraine,Analgesic Therapy,Rizatriptan,750 mg,Every 8 hours,6 hours,51-65,Cygnus Life Sciences,99.6%,Diarrhea,₹424.98
Headache,Analgesic Therapy,Paracetamol,50 mg,Once weekly,12 hours,36-50,TrueMed Industries,95.9%,"Dizziness, Blurred vision, Fatigue",₹632.80
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,100 mg,After meals,6 hours,0-12,Nova Health,97.9%,None reported,₹115.62
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,1000 mg,Twice daily - Morning & Night,2 hours,51-65,MedLife Labs,97.3%,Constipation,₹649.68
Asthma,Steroid Inhalation,Montelukast,50 mg,Every 8 hours,18 hours,13-18,Greenfield Biotech,96.1%,"Dry mouth, Drowsiness",₹697.26
Chronic Pain,Analgesic Therapy,Paracetamol,1000 mg,Every 6 hours,12 hours,19-35,MedLife Labs,96.3%,Fatigue,₹107.51
Chronic Pain,Analgesic Therapy,Tramadol,500 mg,Thrice daily - After meals,10 hours,19-35,Silver Cross Pharma,97.8%,"Loss of appetite, Dry mouth, Constipation",₹831.96
Arthritis,NSAID Therapy,Ibuprofen,300 mg,Twice daily - Morning & Night,10 hours,13-18,Vitacore Pharmaceuticals,97.0%,"Dizziness, Headache, Fatigue",₹62.79
Chronic Pain,Analgesic Therapy,Paracetamol,650 mg,Every 6 hours,12 hours,13-18,TrueMed Industries,95.5%,"Mild rash, Insomnia",₹167.05
Peptic Ulcer,Proton Pump Inhibitor,Pantoprazole,10 mg,Thrice daily - After meals,6 hours,13-18,Nova Health,98.2%,Fatigue,₹519.34
Osteoporosis,Supplementation,Alendronate,200 mg,Once daily - Morning,10 hours,19-35,Wellspring Rx,95.1%,Headache,₹792.45
Anxiety Disorder,Anxiolytic Therapy,Buspirone,250 mg,Every 8 hours,10 hours,51-65,Wellspring Rx,96.5%,"Insomnia, Drowsiness, Stomach upset",₹216.57
Vitamin D Deficiency,Supplementation,Cholecalciferol,250 mg,As needed (SOS),10 hours,36-50,Greenfield Biotech,95.9%,"Dry mouth, Constipation",₹430.17
Asthma,Bronchodilator Therapy,Montelukast,750 mg,Thrice daily - After meals,4 hours,0-12,Horizon Meds,97.8%,Mild rash,₹313.09
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,200 mg,Every 6 hours,2 hours,51-65,MedLife Labs,98.3%,"Diarrhea, Stomach upset",₹431.27
Acidity / GERD,Antacid Therapy,Ranitidine,250 mg,As needed (SOS),2 hours,0-12,PurePath Pharma,95.7%,None reported,₹185.22
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,750 mg,After meals,18 hours,65+,Silver Cross Pharma,95.1%,"Diarrhea, Dizziness",₹225.37
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,2.5 mg,Once daily - Night,4 hours,19-35,Sunrise Pharma,95.9%,"Headache, Diarrhea, Drowsiness",₹585.29
Headache,Analgesic Therapy,Naproxen,650 mg,Before meals,8 hours,51-65,TrueMed Industries,95.6%,"Dizziness, Nausea",₹206.41
Arthritis,NSAID Therapy,Ibuprofen,2.5 mg,Every 6 hours,12 hours,0-12,Nova Health,96.6%,"Nausea, None reported",₹195.78
Bacterial Infection,Antibiotic Therapy,Amoxicillin,50 mg,Thrice daily - After meals,6 hours,36-50,PurePath Pharma,97.9%,Fatigue,₹349.70
Osteoporosis,Bisphosphonate Therapy,Alendronate,300 mg,Before meals,18 hours,36-50,Nova Health,98.3%,Headache,₹177.88
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,300 mg,Before meals,8 hours,13-18,Cygnus Life Sciences,95.4%,"Insomnia, Drowsiness, Dry mouth",₹590.75
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,250 mg,Once daily - Morning,18 hours,36-50,TrueMed Industries,97.3%,"Dry mouth, Insomnia",₹711.47
Hypertension,Diuretic Therapy,Hydrochlorothiazide,10 mg,After meals,18 hours,13-18,Wellspring Rx,99.0%,"Drowsiness, Blurred vision",₹520.39
Skin Infection (Fungal),Antifungal Therapy,Fluconazole,250 mg,As needed (SOS),12 hours,65+,Sunrise Pharma,96.2%,"Constipation, Headache, Insomnia",₹358.76
Arthritis,NSAID Therapy,Ibuprofen,650 mg,Once daily - Night,24 hours,36-50,MedLife Labs,99.4%,Constipation,₹36.37
Vitamin D Deficiency,Supplementation,Cholecalciferol,650 mg,Thrice daily - After meals,8 hours,36-50,Nova Health,96.7%,Diarrhea,₹351.54
Insomnia,Sedative Therapy,Doxylamine,1000 mg,Before meals,6 hours,0-12,TrueMed Industries,95.7%,Nausea,₹371.02
Chronic Pain,Analgesic Therapy,Tramadol,250 mg,Thrice daily - After meals,6 hours,65+,Zenith Biocare,97.1%,Constipation,₹716.42
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,10 mg,As needed (SOS),12 hours,51-65,Cygnus Life Sciences,99.5%,"Loss of appetite, Fatigue",₹639.74
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,150 mg,Every 8 hours,4 hours,51-65,Cygnus Life Sciences,96.6%,"Fatigue, Dry mouth",₹320.16
Headache,Analgesic Therapy,Paracetamol,750 mg,Every 8 hours,10 hours,51-65,TrueMed Industries,96.3%,"Blurred vision, Mild rash",₹115.03
High Cholesterol,Statin Therapy,Simvastatin,200 mg,Before meals,6 hours,13-18,TrueMed Industries,95.4%,"Constipation, Loss of appetite, Drowsiness",₹25.85
Hypertension,ACE Inhibitor Therapy,Metoprolol,500 mg,Thrice daily - After meals,24 hours,51-65,Silver Cross Pharma,98.5%,"Dizziness, Blurred vision",₹605.37
Chronic Pain,Analgesic Therapy,Paracetamol,100 mg,Before meals,10 hours,65+,Silver Cross Pharma,98.7%,"Mild rash, Stomach upset, Diarrhea",₹328.12
Asthma,Steroid Inhalation,Budesonide,1000 mg,Once daily - Night,12 hours,36-50,Sunrise Pharma,99.0%,Mild rash,₹323.73
Acidity / GERD,Proton Pump Inhibitor,Ranitidine,500 mg,Thrice daily - After meals,10 hours,19-35,Horizon Meds,96.7%,"Stomach upset, Diarrhea",₹816.09
Common Cold,Symptomatic Relief,Chlorpheniramine,650 mg,After meals,18 hours,0-12,Greenfield Biotech,96.8%,Dry mouth,₹68.62
Asthma,Bronchodilator Therapy,Budesonide,300 mg,Once daily - Morning,10 hours,65+,Horizon Meds,98.5%,Headache,₹496.82
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,2.5 mg,Before meals,4 hours,51-65,Greenfield Biotech,99.0%,"Dry mouth, Mild rash",₹133.34
Acidity / GERD,Antacid Therapy,Ranitidine,650 mg,As needed (SOS),18 hours,19-35,Silver Cross Pharma,99.1%,"Stomach upset, Mild rash",₹601.35
Chronic Pain,Analgesic Therapy,Tramadol,650 mg,Before meals,10 hours,51-65,Wellspring Rx,95.5%,"Insomnia, Loss of appetite",₹592.85
Chronic Pain,Analgesic Therapy,Diclofenac,200 mg,Every 6 hours,18 hours,65+,Greenfield Biotech,96.3%,"None reported, Diarrhea, Blurred vision",₹779.09
Fever,Antipyretic Therapy,Aspirin,250 mg,Twice daily - Morning & Night,6 hours,65+,Horizon Meds,95.4%,Headache,₹631.35
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,750 mg,Every 6 hours,8 hours,19-35,TrueMed Industries,97.8%,"Constipation, Stomach upset",₹680.22
Hypertension,ACE Inhibitor Therapy,Hydrochlorothiazide,500 mg,As needed (SOS),18 hours,51-65,Silver Cross Pharma,97.5%,Mild rash,₹18.64
Peptic Ulcer,Proton Pump Inhibitor,Pantoprazole,10 mg,Once weekly,10 hours,36-50,Greenfield Biotech,97.0%,"Insomnia, Blurred vision, Dry mouth",₹548.65
Type 2 Diabetes,Oral Hypoglycemic Therapy,Metformin,50 mg,After meals,2 hours,36-50,Cygnus Life Sciences,96.1%,"Mild rash, Drowsiness, Blurred vision",₹254.56
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,2.5 mg,Once daily - Night,4 hours,0-12,Zenith Biocare,96.6%,"Nausea, Loss of appetite, Drowsiness",₹791.62
High Cholesterol,Statin Therapy,Simvastatin,2.5 mg,After meals,18 hours,65+,Silver Cross Pharma,96.5%,"Constipation, Nausea, Blurred vision",₹448.69
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,1000 mg,Twice daily - Morning & Night,10 hours,13-18,Greenfield Biotech,96.6%,"Stomach upset, None reported",₹714.54
Allergy,Antihistamine Therapy,Loratadine,1000 mg,As needed (SOS),6 hours,13-18,Silver Cross Pharma,99.2%,"Blurred vision, Dizziness",₹232.73
Depression,Antidepressant Therapy,Sertraline,500 mg,After meals,10 hours,36-50,Horizon Meds,98.7%,"Fatigue, Dry mouth",₹58.72
Anxiety Disorder,Anxiolytic Therapy,Buspirone,300 mg,Once daily - Morning,6 hours,0-12,Greenfield Biotech,99.5%,Constipation,₹255.58
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,50 mg,Once daily - Night,2 hours,65+,Nova Health,98.1%,Dizziness,₹522.99
Allergy,Antihistamine Therapy,Levocetirizine,650 mg,Once daily - Night,10 hours,13-18,Nova Health,98.0%,"Diarrhea, Dry mouth, Mild rash",₹673.61
Headache,Analgesic Therapy,Paracetamol,250 mg,Once daily - Morning,12 hours,51-65,Silver Cross Pharma,96.7%,Loss of appetite,₹310.48
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,650 mg,Once daily - Morning,4 hours,65+,Zenith Biocare,96.0%,"Drowsiness, Dizziness, None reported",₹773.94
Allergy,Antihistamine Therapy,Levocetirizine,10 mg,Twice daily - Morning & Night,12 hours,19-35,Cygnus Life Sciences,99.1%,"Headache, Loss of appetite",₹108.33
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,650 mg,As needed (SOS),24 hours,65+,Greenfield Biotech,99.8%,Fatigue,₹409.26
Anxiety Disorder,Anxiolytic Therapy,Alprazolam,10 mg,Once daily - Morning,10 hours,0-12,Horizon Meds,95.8%,"Stomach upset, Blurred vision, Nausea",₹734.16
Chronic Pain,Analgesic Therapy,Paracetamol,300 mg,Every 8 hours,8 hours,13-18,Zenith Biocare,95.8%,"Nausea, None reported",₹33.49
Type 2 Diabetes,Oral Hypoglycemic Therapy,Glimepiride,100 mg,As needed (SOS),2 hours,19-35,Wellspring Rx,97.2%,"Dizziness, Insomnia, Headache",₹187.53
Arthritis,NSAID Therapy,Diclofenac,250 mg,As needed (SOS),2 hours,0-12,MedLife Labs,97.0%,"Dry mouth, Diarrhea",₹491.71
Common Cold,Symptomatic Relief,Phenylephrine Combo,5 mg,Every 6 hours,12 hours,36-50,MedLife Labs,98.7%,Blurred vision,₹246.72
Vitamin D Deficiency,Supplementation,Cholecalciferol,25 mg,Thrice daily - After meals,18 hours,51-65,Zenith Biocare,98.3%,"Diarrhea, None reported",₹466.99
Peptic Ulcer,Proton Pump Inhibitor,Pantoprazole,5 mg,After meals,8 hours,65+,Greenfield Biotech,95.7%,"None reported, Dizziness, Fatigue",₹709.10
Type 2 Diabetes,Oral Hypoglycemic Therapy,Metformin,5 mg,Once weekly,18 hours,19-35,Wellspring Rx,99.0%,"Insomnia, Fatigue",₹367.65
Acidity / GERD,Proton Pump Inhibitor,Ranitidine,300 mg,Before meals,24 hours,51-65,Vitacore Pharmaceuticals,95.2%,"Nausea, Dry mouth, Headache",₹70.38
Acidity / GERD,Antacid Therapy,Pantoprazole,5 mg,Before meals,12 hours,65+,Nova Health,96.6%,Blurred vision,₹134.80
Migraine,Analgesic Therapy,Paracetamol,1000 mg,Once daily - Morning,6 hours,13-18,Horizon Meds,96.3%,"Headache, Blurred vision",₹31.54
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,500 mg,Once daily - Morning,6 hours,13-18,Cygnus Life Sciences,98.5%,"Insomnia, Mild rash, Loss of appetite",₹506.69
Headache,Analgesic Therapy,Paracetamol,250 mg,Once weekly,18 hours,65+,Sunrise Pharma,96.1%,Insomnia,₹645.86
Hypertension,Beta Blocker Therapy,Losartan,650 mg,Every 6 hours,10 hours,0-12,Vitacore Pharmaceuticals,95.4%,Nausea,₹816.78
Acidity / GERD,Proton Pump Inhibitor,Ranitidine,10 mg,As needed (SOS),6 hours,0-12,Vitacore Pharmaceuticals,95.8%,Loss of appetite,₹264.66
Common Cold,Antihistamine Therapy,Cetrizine,750 mg,Twice daily - Morning & Night,4 hours,51-65,Zenith Biocare,98.3%,"Headache, Dry mouth, Fatigue",₹245.36
Bacterial Infection,Antibiotic Therapy,Azithromycin,500 mg,Every 8 hours,8 hours,0-12,Horizon Meds,99.4%,Dry mouth,₹536.84
Common Cold,Antihistamine Therapy,Chlorpheniramine,200 mg,Twice daily - Morning & Night,2 hours,36-50,Greenfield Biotech,96.3%,Loss of appetite,₹94.21
High Cholesterol,Statin Therapy,Rosuvastatin,2.5 mg,Twice daily - Morning & Night,12 hours,0-12,Silver Cross Pharma,95.7%,"Headache, Insomnia",₹457.27
Common Cold,Antihistamine Therapy,Phenylephrine Combo,500 mg,Once weekly,8 hours,51-65,TrueMed Industries,99.2%,Fatigue,₹651.59
Insomnia,Sedative Therapy,Zolpidem,250 mg,Once daily - Night,2 hours,0-12,Horizon Meds,98.0%,"Drowsiness, Constipation, Stomach upset",₹775.74
Urinary Tract Infection,Antibiotic Therapy,Nitrofurantoin,500 mg,After meals,2 hours,51-65,Greenfield Biotech,97.7%,"Headache, Constipation",₹700.32
Osteoporosis,Bisphosphonate Therapy,Alendronate,300 mg,Once daily - Night,10 hours,19-35,Zenith Biocare,98.7%,"Diarrhea, Mild rash, Headache",₹427.87
Asthma,Bronchodilator Therapy,Montelukast,10 mg,Twice daily - Morning & Night,2 hours,0-12,Nova Health,99.2%,"Fatigue, Nausea",₹783.92
Vitamin D Deficiency,Supplementation,Cholecalciferol,50 mg,Every 8 hours,6 hours,19-35,MedLife Labs,96.1%,"Nausea, Drowsiness, Fatigue",₹354.39
Headache,Analgesic Therapy,Ibuprofen,5 mg,Once daily - Morning,12 hours,65+,Wellspring Rx,98.8%,"Fatigue, Loss of appetite, Stomach upset",₹130.20
Arthritis,NSAID Therapy,Naproxen,100 mg,Once daily - Morning,6 hours,36-50,Nova Health,97.0%,Diarrhea,₹402.63
Arthritis,NSAID Therapy,Diclofenac,650 mg,Once daily - Morning,18 hours,13-18,Zenith Biocare,96.9%,"Dry mouth, Fatigue",₹712.47
Asthma,Steroid Inhalation,Salbutamol,750 mg,Every 8 hours,18 hours,51-65,Vitacore Pharmaceuticals,95.8%,"Insomnia, Fatigue, Loss of appetite",₹235.48
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,250 mg,Before meals,12 hours,0-12,TrueMed Industries,95.8%,"None reported, Loss of appetite, Headache",₹684.68
Migraine,Triptan Therapy,Paracetamol,150 mg,Every 6 hours,4 hours,0-12,Cygnus Life Sciences,99.8%,Dry mouth,₹424.72
Insomnia,Sedative Therapy,Zolpidem,10 mg,Once weekly,8 hours,36-50,Greenfield Biotech,95.7%,"Stomach upset, Blurred vision, Fatigue",₹737.86
Skin Infection (Fungal),Antifungal Therapy,Clotrimazole,650 mg,Once weekly,6 hours,51-65,Silver Cross Pharma,98.1%,"Dizziness, Dry mouth",₹451.97
Osteoporosis,Supplementation,Calcium + Vitamin D3,650 mg,Every 8 hours,4 hours,0-12,PurePath Pharma,98.8%,"Diarrhea, Loss of appetite",₹31.98
Allergy,Antihistamine Therapy,Levocetirizine,10 mg,Every 8 hours,12 hours,51-65,MedLife Labs,97.7%,"Mild rash, Headache",₹696.85
Urinary Tract Infection,Antibiotic Therapy,Ciprofloxacin,25 mg,Once weekly,10 hours,51-65,Nova Health,96.7%,"Dizziness, Fatigue, Blurred vision",₹352.06
Fever,Antipyretic Therapy,Aspirin,1000 mg,Once daily - Night,4 hours,65+,Silver Cross Pharma,95.8%,"Nausea, Diarrhea",₹560.06
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,1000 mg,After meals,2 hours,51-65,TrueMed Industries,95.0%,Headache,₹132.41
Insomnia,Sedative Therapy,Zolpidem,750 mg,Every 6 hours,24 hours,13-18,Zenith Biocare,97.2%,Drowsiness,₹250.68
Urinary Tract Infection,Antibiotic Therapy,Nitrofurantoin,25 mg,Twice daily - Morning & Night,10 hours,51-65,MedLife Labs,95.9%,Diarrhea,₹26.00
Vitamin D Deficiency,Supplementation,Cholecalciferol,1000 mg,Before meals,8 hours,65+,Nova Health,98.1%,"Insomnia, Constipation",₹644.31
Insomnia,Sedative Therapy,Melatonin,750 mg,Once daily - Night,24 hours,19-35,Cygnus Life Sciences,97.8%,"Dizziness, Constipation, Loss of appetite",₹640.39
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,200 mg,Once weekly,24 hours,0-12,Zenith Biocare,96.6%,"Blurred vision, Constipation",₹505.43
Asthma,Steroid Inhalation,Salbutamol,150 mg,Every 6 hours,2 hours,13-18,PurePath Pharma,99.1%,"Blurred vision, Dizziness, Fatigue",₹491.98
High Cholesterol,Statin Therapy,Simvastatin,250 mg,As needed (SOS),6 hours,13-18,Wellspring Rx,99.2%,Insomnia,₹489.14
Hypertension,ACE Inhibitor Therapy,Losartan,100 mg,Every 8 hours,6 hours,36-50,Zenith Biocare,97.0%,Stomach upset,₹521.74
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,300 mg,Every 8 hours,18 hours,65+,Greenfield Biotech,97.4%,Dizziness,₹688.64
Urinary Tract Infection,Antibiotic Therapy,Nitrofurantoin,100 mg,Once daily - Morning,24 hours,36-50,Greenfield Biotech,95.5%,"Fatigue, None reported, Dizziness",₹685.91
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,500 mg,Once daily - Night,8 hours,65+,TrueMed Industries,98.8%,"Insomnia, Mild rash",₹592.58
Arthritis,NSAID Therapy,Diclofenac,650 mg,As needed (SOS),12 hours,51-65,Vitacore Pharmaceuticals,98.6%,"Blurred vision, None reported",₹403.36
Fever,Antipyretic Therapy,Ibuprofen,150 mg,Twice daily - Morning & Night,4 hours,36-50,Greenfield Biotech,95.8%,"Constipation, Dry mouth",₹709.02
Insomnia,Sedative Therapy,Doxylamine,500 mg,Every 8 hours,24 hours,51-65,Greenfield Biotech,98.3%,Mild rash,₹162.26
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,150 mg,As needed (SOS),10 hours,36-50,Silver Cross Pharma,96.7%,"Fatigue, Insomnia",₹647.75
Arthritis,NSAID Therapy,Naproxen,25 mg,After meals,24 hours,51-65,MedLife Labs,96.4%,Loss of appetite,₹825.24
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,5 mg,As needed (SOS),8 hours,19-35,Sunrise Pharma,96.3%,Drowsiness,₹683.17
Chronic Pain,Analgesic Therapy,Diclofenac,1000 mg,Twice daily - Morning & Night,2 hours,51-65,PurePath Pharma,98.6%,"Blurred vision, Dizziness",₹740.42
Headache,Analgesic Therapy,Ibuprofen,650 mg,As needed (SOS),24 hours,13-18,Sunrise Pharma,98.5%,Loss of appetite,₹251.71
Bacterial Infection,Antibiotic Therapy,Azithromycin,250 mg,After meals,6 hours,51-65,Sunrise Pharma,99.7%,Drowsiness,₹526.65
Fever,Antipyretic Therapy,Paracetamol,2.5 mg,Twice daily - Morning & Night,2 hours,0-12,Silver Cross Pharma,96.5%,"Stomach upset, Mild rash",₹119.96
Insomnia,Sedative Therapy,Doxylamine,1000 mg,Every 6 hours,6 hours,0-12,TrueMed Industries,95.2%,"None reported, Dry mouth",₹780.32
Allergy,Antihistamine Therapy,Loratadine,150 mg,As needed (SOS),2 hours,19-35,Cygnus Life Sciences,98.7%,Dizziness,₹347.46
Fever,Antipyretic Therapy,Paracetamol,150 mg,Before meals,10 hours,36-50,Nova Health,96.5%,Dry mouth,₹41.88
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,650 mg,After meals,12 hours,51-65,Wellspring Rx,97.5%,"Drowsiness, Diarrhea",₹699.75
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,100 mg,Once daily - Night,4 hours,65+,MedLife Labs,96.0%,"Blurred vision, Headache",₹41.00
Hypertension,Diuretic Therapy,Amlodipine,650 mg,Thrice daily - After meals,24 hours,51-65,PurePath Pharma,98.4%,"Stomach upset, Loss of appetite",₹798.70
Chronic Pain,Analgesic Therapy,Tramadol,5 mg,Once weekly,10 hours,0-12,Sunrise Pharma,96.3%,Stomach upset,₹106.30
Migraine,Triptan Therapy,Rizatriptan,150 mg,Once daily - Night,6 hours,19-35,Wellspring Rx,95.5%,"Dizziness, Loss of appetite, Stomach upset",₹321.19
Arthritis,NSAID Therapy,Ibuprofen,250 mg,Before meals,2 hours,36-50,MedLife Labs,96.0%,Diarrhea,₹493.70
Hypertension,Diuretic Therapy,Metoprolol,200 mg,Twice daily - Morning & Night,8 hours,0-12,Sunrise Pharma,96.3%,None reported,₹100.14
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,10 mg,Once daily - Morning,12 hours,19-35,Vitacore Pharmaceuticals,97.5%,Dry mouth,₹594.94
Arthritis,NSAID Therapy,Diclofenac,300 mg,Every 6 hours,6 hours,13-18,Vitacore Pharmaceuticals,97.0%,"Stomach upset, Mild rash",₹124.43
Arthritis,NSAID Therapy,Ibuprofen,1000 mg,After meals,24 hours,65+,Nova Health,96.5%,"Nausea, Stomach upset, Diarrhea",₹772.03
Common Cold,Symptomatic Relief,Cetrizine,1000 mg,Once daily - Morning,6 hours,0-12,TrueMed Industries,95.2%,Constipation,₹221.13
Headache,Analgesic Therapy,Ibuprofen,1000 mg,After meals,18 hours,13-18,Silver Cross Pharma,96.7%,"Fatigue, Blurred vision, Dizziness",₹60.31
Common Cold,Antihistamine Therapy,Chlorpheniramine,500 mg,Once daily - Night,4 hours,19-35,Wellspring Rx,96.2%,"None reported, Dizziness",₹394.06
